creat ph0.
0 0
creat ph1.
1 1
creat ph2.
2 2
creat ph3.
3 3
creat ph4.
4 4
time	:ph0	ph1	ph2	ph3	ph4
748	:think	think	think	think	think	
749	:think	think	think	think	think	
750	:think	think	think	think	think	
751	:think	think	think	think	think	
752	:think	think	think	think	think	
753	:think	think	think	think	think	
754	:think	think	think	think	think	
755	:think	think	think	think	think	
756	:think	think	think	think	think	
757	:think	think	think	think	think	
758	:think	think	think	think	think	
759	:think	think	think	think	think	
760	:think	think	think	think	think	
761	:think	think	think	think	think	
762	:think	think	think	think	think	
763	:think	think	think	think	think	
764	:think	think	think	think	think	
765	:think	think	think	think	think	
766	:think	think	think	think	think	
767	:think	think	think	think	think	
768	:think	think	think	think	think	
769	:think	think	think	think	think	
770	:think	think	think	think	think	
771	:think	think	think	think	think	
772	:think	think	think	think	think	
773	:think	think	think	think	think	
774	:think	think	think	think	think	
775	:think	think	think	think	think	
776	:think	think	think	think	think	
777	:think	think	think	think	think	
778	:think	think	think	think	think	
779	:think	think	think	think	think	
780	:think	think	think	think	think	
781	:think	think	think	think	think	
782	:think	think	think	think	think	
783	:think	think	think	think	think	
784	:think	think	think	think	think	
785	:think	think	think	think	think	
786	:think	think	think	think	think	
787	:think	think	think	think	think	
788	:think	think	think	think	think	
789	:think	think	think	think	think	
790	:think	think	think	think	think	
791	:think	think	think	think	think	
792	:think	think	think	think	think	
793	:think	think	think	think	think	
794	:think	think	think	think	think	
795	:think	think	think	think	think	
796	:think	think	think	think	think	
797	:think	think	think	think	think	
798	:think	think	think	think	think	
799	:think	think	think	think	think	
800	:think	think	think	think	think	
801	:think	think	think	think	think	
802	:think	think	think	think	think	
803	:think	think	think	think	think	
804	:think	think	think	think	think	
805	:think	think	think	think	think	
806	:think	think	think	think	think	
807	:think	think	think	think	think	
808	:think	think	think	think	think	
809	:think	think	think	think	think	
810	:think	think	think	think	think	
811	:think	think	think	think	think	
812	:think	think	think	think	think	
813	:think	think	think	think	think	
814	:think	think	think	think	think	
815	:think	think	think	think	think	
816	:think	think	think	think	think	
817	:think	think	think	think	think	
818	:think	think	think	think	think	
819	:think	think	think	think	think	
820	:think	think	think	think	think	
